FIPS,County,State,Sector,Submarket,Submarket Description,Market,Market Description,VISN,VISN Description,SAS Format,BY16 Sector,Change Indicator,
25017,Middlesex,MASSACHUSETTS,01-a-9-A,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25017' = '01-a-9-A',01-a-9-A,No Change,
44007,Providence,RHODE ISLAND,01-a-9-B,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'44007' = '01-a-9-B',01-a-9-B,No Change,
25027,Worcester,MASSACHUSETTS,01-a-9-C,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25027' = '01-a-9-C',01-a-9-C,No Change,
25009,Essex,MASSACHUSETTS,01-a-9-D,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25009' = '01-a-9-D',01-a-9-D,No Change,
25021,Norfolk,MASSACHUSETTS,01-a-9-E,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25021' = '01-a-9-E',01-a-9-E,No Change,
25025,Suffolk,MASSACHUSETTS,01-a-9-F,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25025' = '01-a-9-F',01-a-9-F,No Change,
25023,Plymouth,MASSACHUSETTS,01-a-9-G,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25023' = '01-a-9-G',01-a-9-G,No Change,
25005,Bristol,MASSACHUSETTS,01-a-9-H,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25005' = '01-a-9-H',01-a-9-H,No Change,
44001,Bristol,RHODE ISLAND,01-a-9-I,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'44001' = '01-a-9-I',01-a-9-I,No Change,
44003,Kent,RHODE ISLAND,01-a-9-I,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'44003' = '01-a-9-I',01-a-9-I,No Change,
44005,Newport,RHODE ISLAND,01-a-9-I,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'44005' = '01-a-9-I',01-a-9-I,No Change,
44009,Washington,RHODE ISLAND,01-a-9-I,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'44009' = '01-a-9-I',01-a-9-I,No Change,
25001,Barnstable,MASSACHUSETTS,01-a-9-J,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25001' = '01-a-9-J',01-a-9-J,No Change,
25007,Dukes,MASSACHUSETTS,01-a-9-J,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25007' = '01-a-9-J',01-a-9-J,No Change,
25019,Nantucket,MASSACHUSETTS,01-a-9-J,01-a-9,V01_East,01-a,V01_East,01,VA New England Healthcare System,'25019' = '01-a-9-J',01-a-9-J,No Change,
23001,Androscoggin,MAINE,01-b-9-A,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23001' = '01-b-9-A',01-b-9-A,No Change,
23011,Kennebec,MAINE,01-b-9-A,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23011' = '01-b-9-A',01-b-9-A,No Change,
23015,Lincoln,MAINE,01-b-9-A,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23015' = '01-b-9-A',01-b-9-A,No Change,
23023,Sagadahoc,MAINE,01-b-9-A,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23023' = '01-b-9-A',01-b-9-A,No Change,
23005,Cumberland,MAINE,01-b-9-B,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23005' = '01-b-9-B',01-b-9-B,No Change,
23031,York,MAINE,01-b-9-B,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23031' = '01-b-9-B',01-b-9-B,No Change,
23009,Hancock,MAINE,01-b-9-C,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23009' = '01-b-9-C',01-b-9-C,No Change,
23013,Knox,MAINE,01-b-9-C,01-b-9,V01_Far_North,01-b,V01_Far_North,01,VA New England Healthcare System,'23013' = '01-b-9-C',01-b-9-C,No Change,
